コード,会社名,会社名（カナ）,会社名（英語）,銘柄名,所在地,連結の有無,市場,33業種コード,33業種区分,17業種コード,17業種区分,決算日,総資産（百万）,売上高（百万）
8995,株式会社誠建設工業,カブシキガイシャマコトケンセツコウギョウ,"makoto construction co,ltd",誠建設工業,堺市中区福田４６番地,有,スタンダード（内国株式）,8050,不動産業,17,不動産,3月31日,5594,2852
8999,グランディハウス株式会社,グランディハウスカブシキガイシャ,Grandy House Corporation,グランディハウス,宇都宮市大通り四丁目３番１８号,有,プライム（内国株式）,8050,不動産業,17,不動産,3月31日,58070,47154
9001,東武鉄道株式会社,トウブテツドウカブシキカイシャ,"TOBU RAILWAY CO.,LTD.",東武鉄道,墨田区押上一丁目１番２号,有,プライム（内国株式）,5050,陸運業,12,運輸・物流,3月31日,1682497,496326
9003,相鉄ホールディングス株式会社,ソウテツホールディングスカブシキガイシャ,"Sotetsu Holdings,Inc.",相鉄ホールディングス,横浜市西区北幸一丁目３番２３号,有,プライム（内国株式）,5050,陸運業,12,運輸・物流,3月31日,619410,221136
9005,東急株式会社,トウキュウカブシキガイシャ,TOKYU CORPORATION,東急,渋谷区南平台町５番６号,有,プライム（内国株式）,5050,陸運業,12,運輸・物流,3月31日,2476061,935927
9006,京浜急行電鉄株式会社,ケイヒンキュウコウデンテツカブシキガイシャ,Keikyu Corporation,京浜急行電鉄,横浜市西区高島１丁目２番８号,有,プライム（内国株式）,5050,陸運業,12,運輸・物流,3月31日,929053,234964
9007,小田急電鉄株式会社,オダキュウデンテツカブシキガイシャ,"Odakyu Electric Railway Co.,Ltd",小田急電鉄,渋谷区代々木２丁目２８番１２号,有,プライム（内国株式）,5050,陸運業,12,運輸・物流,3月31日,1326996,385978
9008,京王電鉄株式会社,ケイオウデンテツカブシキガイシャ,Keio Corporation,京王電鉄,新宿区新宿三丁目１番２４号,有,プライム（内国株式）,5050,陸運業,12,運輸・物流,3月31日,912624,315439
9009,京成電鉄株式会社,ケイセイデンテツカブシキガイシャ,,京成電鉄,市川市八幡三丁目３番１号,有,プライム（内国株式）,5050,陸運業,12,運輸・物流,3月31日,900698,207761
9010,富士急行株式会社,フジキュウコウカブシキガイシャ,"FUJI KYUKO CO., LTD.",富士急行,富士吉田市上吉田二丁目５番１号,有,プライム（内国株式）,5050,陸運業,12,運輸・物流,3月31日,101601,30451
9012,秩父鉄道株式会社,チチブテツドウカブシキガイシャ,,秩父鉄道,熊谷市曙町一丁目１番地,有,スタンダード（内国株式）,5050,陸運業,12,運輸・物流,3月31日,23449,3933
9017,新潟交通株式会社,ニイガタコウツウカブシキガイシャ,"NiigataKotsu Co.,Ltd.",新潟交通,新潟市中央区万代１丁目６番１号,有,スタンダード（内国株式）,5050,陸運業,12,運輸・物流,3月31日,57456,13630
9020,東日本旅客鉄道株式会社,ヒガシニホンリョカクテツドウカブシキカイシャ,East Japan Railway Company,東日本旅客鉄道,渋谷区代々木二丁目２番２号,有,プライム（内国株式）,5050,陸運業,12,運輸・物流,3月31日,8916420,1764584
9021,西日本旅客鉄道株式会社,ニシニホンリョカクテツドウカブシキガイシャ,West Japan Railway Company,西日本旅客鉄道,大阪市北区芝田二丁目４番２４号,有,プライム（内国株式）,5050,陸運業,12,運輸・物流,3月31日,3477382,920046
9022,東海旅客鉄道株式会社,トウカイリョカクテツドウカブシキガイシャ,Central Japan Railway Company,東海旅客鉄道,名古屋市中村区名駅一丁目１番４号,有,プライム（内国株式）,5050,陸運業,12,運輸・物流,3月31日,9600370,823517
9024,株式会社西武ホールディングス,カブシキガイシャセイブホールディングス,SEIBU HOLDINGS INC.,西武ホールディングス,豊島区南池袋一丁目１６番１５号,有,プライム（内国株式）,5050,陸運業,12,運輸・物流,3月31日,1698497,337061
9025,鴻池運輸株式会社,コウノイケウンユカブシキガイシャ,"Konoike Transport Co.,Ltd.",鴻池運輸,大阪市中央区伏見町四丁目３番９号,有,プライム（内国株式）,5050,陸運業,12,運輸・物流,3月31日,258798,292348
9028,株式会社ゼロ,カブシキガイシャゼロ,"ZERO CO.,LTD.",ゼロ,川崎市幸区堀川町５８０番地ソリッドスクエア西館６階,有,スタンダード（内国株式）,5050,陸運業,12,運輸・物流,6月30日,50935,92171
9029,株式会社ヒガシトゥエンティワン,カブシキガイシヤヒガシトウエンテイワン,"HIGASHI TWENTY ONE CO.,LTD.",ヒガシトゥエンティワン,大阪市中央区内久宝寺町三丁目１番９号,有,スタンダード（内国株式）,5050,陸運業,12,運輸・物流,3月31日,15811,24436
9031,西日本鉄道株式会社,ニシニッポンテツドウカブシキガイシャ,"Nishi-Nippon Railroad Co.,Ltd.",西日本鉄道,福岡市博多区博多駅前三丁目５番７号,有,プライム（内国株式）,5050,陸運業,12,運輸・物流,3月31日,707804,346121
9033,広島電鉄株式会社,ヒロシマデンテツカブシキガイシャ,"Hiroshima Electric Railway Co.,Ltd.",広島電鉄,広島市中区東千田町二丁目９番２９号,有,スタンダード（内国株式）,5050,陸運業,12,運輸・物流,3月31日,92121,25409
9034,南総通運株式会社,ナンソウツウンカブシキガイシャ,"NANSO Transport Co., Ltd.",南総通運,東金市東金５８２番地,有,スタンダード（内国株式）,5050,陸運業,12,運輸・物流,3月31日,31621,13383
9036,東部ネットワーク株式会社,トウブネットワークカブシキガイシャ,"TOHBU NETWORK CO.,LTD.",東部ネットワーク,横浜市神奈川区栄町２番地の９,無,スタンダード（内国株式）,5050,陸運業,12,運輸・物流,3月31日,22116,8552
9037,株式会社ハマキョウレックス,カブシキガイシャ　ハマキョウレックス,"HAMAKYOREX CO.,LTD.",ハマキョウレックス,浜松市南区寺脇町１７０１番地の１,有,プライム（内国株式）,5050,陸運業,12,運輸・物流,3月31日,129295,118876
9039,株式会社サカイ引越センター,カブシキガイシャサカイヒッコシセンター,"Sakai Moving Service Co.,Ltd.",サカイ引越センター,堺市堺区石津北町５６番地,無,プライム（内国株式）,5050,陸運業,12,運輸・物流,3月31日,99488,100333
9041,近鉄グループホールディングス株式会社,キンテツグループホールディングスカブシキガイシャ,,近鉄グループホールディングス,大阪市天王寺区上本町６丁目１番５５号,有,プライム（内国株式）,5050,陸運業,12,運輸・物流,3月31日,1955048,697203
9042,阪急阪神ホールディングス株式会社,ハンキュウハンシンホールディングスカブシキガイシャ,"Hankyu Hanshin Holdings,Inc.",阪急阪神ホールディングス,池田市栄町１番１号,有,プライム（内国株式）,5050,陸運業,12,運輸・物流,3月31日,2621028,568900
